method,model,fold,seed,training_examples,validation_examples,accuracy,macro_f1,training_seconds,explained_variance
lda,logistic_regression,1,43,384,96,0.6458333333333334,0.6418359589493365,0.04232479998609051,
lda,vqc_z_zz_reupload,1,43,384,96,0.4479166666666667,0.45253925324919236,42.88889729999937,
lda,logistic_regression,2,44,384,96,0.8020833333333334,0.7979037226882055,0.0408568000420928,
lda,vqc_z_zz_reupload,2,44,384,96,0.6875,0.6833467226959996,44.270050000050105,
lda,logistic_regression,3,45,384,96,0.78125,0.7783026113671275,0.037777299992740154,
lda,vqc_z_zz_reupload,3,45,384,96,0.6875,0.6868628891617398,43.465473200019915,
lda,logistic_regression,4,46,384,96,0.78125,0.7828128294328485,0.030432900006417185,
lda,vqc_z_zz_reupload,4,46,384,96,0.5104166666666666,0.5190535780496848,42.66573539999081,
lda,logistic_regression,5,47,384,96,0.78125,0.7787357171607646,0.03680850000819191,
lda,vqc_z_zz_reupload,5,47,384,96,0.5208333333333334,0.5165779814902622,43.51728280005045,
