method,model,fold,seed,epoch,training_loss,training_accuracy,validation_loss,validation_accuracy
lda,vqc_z_zz,1,43,1,0.6203669865889659,0.8005044714515019,0.6807690417952323,0.7846012832263978
lda,vqc_z_zz,1,43,2,0.4393735696651115,0.8553084155010319,0.5490587078902177,0.8368469294225481
lda,vqc_z_zz,1,43,3,0.39226123540944335,0.8679202017885806,0.511859109623513,0.8331805682859762
lda,vqc_z_zz,1,43,4,0.3878911670072722,0.8729649163036001,0.5122163900260418,0.8340971585701191
lda,vqc_z_zz,1,43,5,0.37258798049366054,0.8718183902774593,0.4974570251953482,0.8377635197066912
lda,vqc_z_zz,1,43,6,0.37169295081958886,0.874340747534969,0.4962608900286537,0.842346471127406
lda,vqc_z_zz,1,43,7,0.3777936212897875,0.8725063058931438,0.5056345383308002,0.8395967002749771
lda,vqc_z_zz,1,43,8,0.3768718765979785,0.871359779867003,0.506728375509832,0.8350137488542622
lda,vqc_z_zz,1,43,9,0.381914063826856,0.8692960330199495,0.5066125019770167,0.8350137488542622
lda,vqc_z_zz,1,43,10,0.36907937344376357,0.8741114423297409,0.4980629393941869,0.8395967002749771
lda,vqc_z_zz,1,43,11,0.3611837585183957,0.8766337995872506,0.4885376373034459,0.8377635197066912
lda,vqc_z_zz,1,43,12,0.372019502513044,0.8736528319192846,0.504040584254986,0.8304307974335472
lda,vqc_z_zz,1,43,13,0.36051060976552407,0.874340747534969,0.4973990741014262,0.8359303391384051
lda,vqc_z_zz,1,43,14,0.363502312720683,0.8745700527401972,0.49579750311473003,0.846929422548121
lda,vqc_z_zz,1,43,15,0.35422729844484985,0.8773217152029351,0.4815666655353403,0.847846012832264
lda,vqc_z_zz,1,43,16,0.36553948652960244,0.8741114423297409,0.4967732665792285,0.8395967002749771
lda,vqc_z_zz,1,43,17,0.36118422444876497,0.8750286631506535,0.4980942868618218,0.8395967002749771
lda,vqc_z_zz,1,43,18,0.3594573812319636,0.8775510204081632,0.48973946990385503,0.8377635197066912
lda,vqc_z_zz,1,43,19,0.35147776764430355,0.8777803256133915,0.4881990362918235,0.842346471127406
lda,vqc_z_zz,1,43,20,0.36106353961281534,0.8738821371245127,0.4907606553583381,0.844179651695692
lda,vqc_z_zz,1,43,21,0.3430421780184086,0.8793854620499886,0.4714159889438631,0.844179651695692
lda,vqc_z_zz,1,43,22,0.35373241417289353,0.8761751891767943,0.49602941192147054,0.8414298808432631
lda,vqc_z_zz,1,43,23,0.3498693937091919,0.8791561568447603,0.4828971431246599,0.8533455545371219
lda,vqc_z_zz,1,43,24,0.34619612220612395,0.8796147672552167,0.47952568724983663,0.847846012832264
lda,vqc_z_zz,1,43,25,0.37539913742620445,0.8688374226094933,0.5056746832609832,0.843263061411549
lda,vqc_z_zz,1,43,26,0.3578900100167425,0.8780096308186196,0.4896084842990015,0.8386801099908341
lda,vqc_z_zz,1,43,27,0.4056417931796378,0.8582893831689979,0.5249261762929771,0.8313473877176902
lda,vqc_z_zz,1,43,28,0.3544746966324823,0.8786975464343041,0.47882348006739733,0.8414298808432631
lda,vqc_z_zz,1,43,29,0.350297585878042,0.8764044943820225,0.4904945727939676,0.8386801099908341
lda,vqc_z_zz,1,43,30,0.35349950755416076,0.8786975464343041,0.4904445540074577,0.8377635197066912
lda,vqc_z_zz,1,43,31,0.34747865144825396,0.8791561568447603,0.4855936302382612,0.8395967002749771
lda,vqc_z_zz,1,43,32,0.34675809010484027,0.8793854620499886,0.4859012675656844,0.8505957836846929
lda,vqc_z_zz,1,43,33,0.36053526942758923,0.8741114423297409,0.5018862059474756,0.8322639780018332
lda,vqc_z_zz,1,43,34,0.36043148658822854,0.8761751891767943,0.49168744852628105,0.845096241979835
lda,vqc_z_zz,1,43,35,0.3586696176743786,0.8761751891767943,0.49084512598464297,0.8368469294225481
lda,vqc_z_zz,1,43,36,0.3542307872232071,0.8796147672552167,0.4833706494977341,0.842346471127406
lda,vqc_z_zz,1,43,37,0.3518209550064164,0.8777803256133915,0.4912419304675077,0.846012832263978
lda,vqc_z_zz,1,43,38,0.3486061932925264,0.8789268516395322,0.47887999428509576,0.846012832263978
