MC1 through dimensionality reduction
  embedding=tfidf  reducer=pca  scaling=global  qubits=2  layers=2  reuploads=2
  explained variance retained: 0.385
  derived sentence topics: 83 sentences, 2 topics (0 label disagreements)
  train           58 sentences   1653 pairs  labels {0: 792, 1: 861}
  development     14 sentences     91 pairs  labels {0: 45, 1: 46}
  test            11 sentences     55 pairs  labels {0: 28, 1: 27}
  test_original   11 sentences     13 pairs  labels {0: 7, 1: 6}
  seeds: [0]
  merging into the existing 06_mc1_reduced.json

  training seed 0 on default.qubit for the Aer stages
    reference test accuracy: 1.0000

=== 6. Aer training cost ===
  spsa               0.59s for 4 sentences (6 pairs)  ->  0.15s/sentence,  0.14 min/epoch (projected, 58 sentences, all 1653 pairs)
                   gradient reaching circuit weights: 1309.961792

  training on Aer for 120 epochs with diff_method=spsa
      epoch   1/120  train_loss=0.7225  dev_loss=0.7114  dev_acc=0.505
      epoch   2/120  train_loss=0.7110  dev_loss=0.7029  dev_acc=0.505
      epoch   3/120  train_loss=0.7030  dev_loss=0.6967  dev_acc=0.505
      epoch   4/120  train_loss=0.6965  dev_loss=0.6932  dev_acc=0.505
      epoch   5/120  train_loss=0.6924  dev_loss=0.6909  dev_acc=0.505
      epoch   6/120  train_loss=0.6901  dev_loss=0.6897  dev_acc=0.527
      epoch   7/120  train_loss=0.6892  dev_loss=0.6896  dev_acc=0.527
      epoch   8/120  train_loss=0.6884  dev_loss=0.6901  dev_acc=0.527
      epoch   9/120  train_loss=0.6890  dev_loss=0.6912  dev_acc=0.615
      epoch  10/120  train_loss=0.6889  dev_loss=0.6911  dev_acc=0.549
      epoch  11/120  train_loss=0.6878  dev_loss=0.6922  dev_acc=0.527
      epoch  12/120  train_loss=0.6871  dev_loss=0.6910  dev_acc=0.527
      epoch  13/120  train_loss=0.6863  dev_loss=0.6913  dev_acc=0.527
      epoch  14/120  train_loss=0.6855  dev_loss=0.6908  dev_acc=0.549
      epoch  15/120  train_loss=0.6843  dev_loss=0.6897  dev_acc=0.571
      epoch  16/120  train_loss=0.6829  dev_loss=0.6884  dev_acc=0.714
      epoch  17/120  train_loss=0.6818  dev_loss=0.6898  dev_acc=0.637
      epoch  18/120  train_loss=0.6794  dev_loss=0.6885  dev_acc=0.637
      epoch  19/120  train_loss=0.6784  dev_loss=0.6911  dev_acc=0.505
      epoch  20/120  train_loss=0.6787  dev_loss=0.6891  dev_acc=0.429
      epoch  21/120  train_loss=0.6776  dev_loss=0.6897  dev_acc=0.407
      epoch  22/120  train_loss=0.6781  dev_loss=0.6904  dev_acc=0.385
      epoch  23/120  train_loss=0.6756  dev_loss=0.6910  dev_acc=0.396
      epoch  24/120  train_loss=0.6756  dev_loss=0.6895  dev_acc=0.374
      epoch  25/120  train_loss=0.6759  dev_loss=0.6901  dev_acc=0.418
      epoch  26/120  train_loss=0.6744  dev_loss=0.6910  dev_acc=0.396
      epoch  27/120  train_loss=0.6723  dev_loss=0.6919  dev_acc=0.462
      epoch  28/120  train_loss=0.6724  dev_loss=0.6915  dev_acc=0.462
      epoch  29/120  train_loss=0.6730  dev_loss=0.6925  dev_acc=0.473
      epoch  30/120  train_loss=0.6676  dev_loss=0.6913  dev_acc=0.462
      epoch  31/120  train_loss=0.6668  dev_loss=0.6917  dev_acc=0.473
      epoch  32/120  train_loss=0.6689  dev_loss=0.6913  dev_acc=0.495
      epoch  33/120  train_loss=0.6636  dev_loss=0.6994  dev_acc=0.582
      epoch  34/120  train_loss=0.6703  dev_loss=0.6978  dev_acc=0.527
      epoch  35/120  train_loss=0.6613  dev_loss=0.6971  dev_acc=0.604
      epoch  36/120  train_loss=0.6614  dev_loss=0.6989  dev_acc=0.560
      epoch  37/120  train_loss=0.6511  dev_loss=0.6916  dev_acc=0.659
      epoch  38/120  train_loss=0.6558  dev_loss=0.6938  dev_acc=0.626
      epoch  39/120  train_loss=0.6516  dev_loss=0.6879  dev_acc=0.626
      epoch  40/120  train_loss=0.6537  dev_loss=0.6889  dev_acc=0.659
      epoch  41/120  train_loss=0.6463  dev_loss=0.6983  dev_acc=0.604
      epoch  42/120  train_loss=0.6423  dev_loss=0.6940  dev_acc=0.593
      epoch  43/120  train_loss=0.6480  dev_loss=0.6934  dev_acc=0.637
      epoch  44/120  train_loss=0.6419  dev_loss=0.6986  dev_acc=0.637
      epoch  45/120  train_loss=0.6455  dev_loss=0.6807  dev_acc=0.703
      epoch  46/120  train_loss=0.6399  dev_loss=0.6920  dev_acc=0.648
